path,sha1,size,file_description,source_key_timestamp,created_timestamp,modified_timestamp,modified_timestamp2,linker_timestamp,product,company,pe_sizeofimage,version_number,version,language,header_hash,pe_checksum,id,switchbackcontext
c:\program files\vmware\vmware tools\drivers\hgfs\win8\vmhgfs.sys,00000aac4075be18f07e9fd41f484d53048a3cc5909b,,,2017-08-03 11:34:02.294668,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:53:39.990534,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\Drivers\hgfs\Win8\vmhgfs_x64.dll,0000889dca719b17ff21e27c50bbe009d0a264143481,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:53:39.987616,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\Drivers\hgfs\Win8\vmhgfs_x86.dll,0000384583d55816b3e9df8b5c02ed10c850d83e102b,,,2017-08-03 11:34:02.247796,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:53:39.999341,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\Drivers\hgfs\Win8\vmhgfsver.dll,00009bc74eeb7d6b2ed1a947cb5510fdcb8b8ce9e873,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:53:24.000051,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\Common Files\VMware\Drivers\memctl\Win8\vmmemctlver.dll,0000819d4f31458b74cb0580a02d2be4fd759d908df6,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:53:57.999846,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\win32\vmGuestLib.dll,00008dc973e29311a827c94a01994ae368e6db323eba,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:44.029489,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\win64\vmGuestLib.dll,00005a73f7d0d620efb52bf210070ed6a63ddb5dce05,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:23.967844,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\win32\vmGuestLibJava.dll,00000518e54fd91937db4ff7985fa022286460f7f79f,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:25.996158,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\win64\vmGuestLibJava.dll,0000969ce75b19a2db56232a05a4fb8d5d6d03233ff1,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:25.996618,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\vmtools.dll,00001ca29990922bb22fef4fd23b23fb703fbaf21913,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:22.028977,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,000089ab8ca84b00e2ea9a5d35686857a2e1b450e4d6,,,2017-08-03 11:34:02.247796,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:42.008241,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMToolsHook.dll,0000a5bfa667b88556aee2710df75b197826b472cff1,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:19.969482,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMToolsHook64.dll,00001d0d3f6b14ab947991c40bd46aedd8ac86118268,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:21.964823,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMToolsHookProc.exe,00003acf01e335a88a0ac2d1b4a87122f467492dd73a,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:22.006654,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe,00009bbb8ffc322ba7f26a9473c559b8eea1d9fea478,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:47.990372,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMwareNamespaceCmd.exe,000029886a7766443bbe8af92566acf230c347c56c7d,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:36.003223,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe,0000857f42841000fe99606d27c5688836b31882d272,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:19.996158,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMwareToolboxCmd.exe,00006353c7ddb9c3f0b1ec5c7ded726970170a9dd414,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:30.005220,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMwareXferlogs.exe,0000c441539d405bec7fdf330842e010bdb89d613d44,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:40.012388,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
